INFO 2023-04-10 02:29:07,757 Watching for file changes with StatReloader
INFO 2023-04-10 02:29:13,772 "GET / HTTP/1.1" 200 23861
INFO 2023-04-10 02:29:14,051 "GET /static/wb_css/style.css HTTP/1.1" 200 80689
INFO 2023-04-10 02:29:14,071 "GET /static/wb_js/app.js HTTP/1.1" 200 5611
INFO 2023-04-10 02:29:14,092 "GET /static/wb_assets/icon/download.svg HTTP/1.1" 200 220
INFO 2023-04-10 02:29:14,107 "GET /static/wb_assets/image/1.jpg HTTP/1.1" 200 668760
INFO 2023-04-10 02:29:14,165 "GET /static/wb_assets/icon/play_icon.svg HTTP/1.1" 200 1030
INFO 2023-04-10 02:29:14,178 "GET /static/wb_assets/image/3.jpg HTTP/1.1" 200 326277
INFO 2023-04-10 02:29:14,201 "GET /static/wb_assets/icon/manas_logo.png HTTP/1.1" 200 397551
INFO 2023-04-10 02:29:14,221 "GET /static/wb_assets/image/6.jpg HTTP/1.1" 200 111841
INFO 2023-04-10 02:29:14,221 "GET /static/wb_assets/image/4.jpg HTTP/1.1" 200 235014
INFO 2023-04-10 02:29:14,224 "GET /static/wb_assets/image/5.jpg HTTP/1.1" 200 168844
INFO 2023-04-10 02:29:14,228 "GET /static/wb_assets/image/2.jpg HTTP/1.1" 200 604102
INFO 2023-04-10 02:29:14,254 "GET /static/wb_assets/icon/pause_icon.svg HTTP/1.1" 200 540
INFO 2023-04-10 02:29:14,271 "GET /static/wb_assets/image/8.jpg HTTP/1.1" 200 180325
INFO 2023-04-10 02:29:14,283 "GET /static/wb_assets/icon/pdf_icon.svg HTTP/1.1" 200 5386
INFO 2023-04-10 02:29:14,307 "GET /static/wb_assets/image/hostel.jpg HTTP/1.1" 200 604102
INFO 2023-04-10 02:29:14,317 "GET /static/wb_assets/image/school_bus.jpg HTTP/1.1" 200 419420
INFO 2023-04-10 02:29:14,318 "GET /static/wb_assets/icon/facebook.png HTTP/1.1" 200 10793
INFO 2023-04-10 02:29:14,319 "GET /static/wb_assets/icon/twitter.png HTTP/1.1" 200 14416
INFO 2023-04-10 02:29:14,331 "GET /static/wb_assets/icon/linkedin.png HTTP/1.1" 200 12857
INFO 2023-04-10 02:29:14,335 "GET /static/wb_assets/icon/instagram.png HTTP/1.1" 200 16887
INFO 2023-04-10 02:29:14,340 "GET /static/wb_assets/image/cultural.jpg HTTP/1.1" 200 413531
INFO 2023-04-10 02:29:14,345 "GET /static/wb_assets/image/sports.jpg HTTP/1.1" 200 180325
INFO 2023-04-10 02:29:14,368 "GET /static/wb_assets/image/7.jpg HTTP/1.1" 200 863628
INFO 2023-04-10 02:29:14,703 - Broken pipe from ('127.0.0.1', 56804)
INFO 2023-04-10 02:29:14,704 - Broken pipe from ('127.0.0.1', 56807)
INFO 2023-04-10 02:29:14,712 "GET /static/wb_assets/video/about.mp4 HTTP/1.1" 206 3446
INFO 2023-04-10 02:29:14,717 "GET /static/wb_assets/video/overview_video.mp4 HTTP/1.1" 206 28866
INFO 2023-04-10 02:29:15,101 "GET /static/wb_assets/video/overview_video.mp4 HTTP/1.1" 304 0
INFO 2023-04-10 02:29:16,019 "GET /static/wb_assets/video/overview_video.mp4 HTTP/1.1" 206 12128256
INFO 2023-04-10 02:29:16,024 - Broken pipe from ('127.0.0.1', 56806)
WARNING 2023-04-10 02:29:16,236 Not Found: /favicon.ico
WARNING 2023-04-10 02:29:16,237 "GET /favicon.ico HTTP/1.1" 404 4283
INFO 2023-04-10 02:29:19,501 "GET /corecode/ HTTP/1.1" 302 0
INFO 2023-04-10 02:29:19,561 "GET /accounts/login/?next=/corecode/ HTTP/1.1" 200 3980
INFO 2023-04-10 02:29:19,620 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-10 02:29:19,623 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-10 02:29:19,674 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58587
INFO 2023-04-10 02:29:19,755 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-10 02:29:19,758 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-10 02:29:19,835 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-10 02:29:19,866 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-10 02:29:19,898 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-10 02:29:19,903 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-10 02:29:19,927 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-10 02:29:19,930 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2023-04-10 02:29:19,946 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-10 02:29:20,001 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-10 02:29:20,013 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
